asylum_decisions_2015_2024
Jahr;insgesamt;Rechtsstellung als Flüchtling (inkl. Art. 16a GG);davon Asylberechtigte;subsidiärer Schutz (§4 AsylG);Abschiebungsverbot (§60 Abs. 5 o. 7);Ablehnungen;Formelle Entscheidung
2015;282726;137136;2029;1707;2072;91514;50297
2016;695733;256136;2120;153700;24084;173846;87967
2017;603428;123909;4359;98074;39659;232307;109479
2018;216873;41368;2841;25055;9548;75395;65507
2019;183954;45053;2192;19419;5857;54034;59591
2020;145071;37818;1693;18950;5702;46586;36015
2021;149954;32065;1226;22996;4787;35071;55035
2022;228673;40911;1937;57532;30020;49330;50880
2023;261601;42525;1824;71290;21462;61778;64546
2024;301350;37795;1964;75092;20823;91940;75700
