"pid","hid_panel","cid_panel","syear_panel","sample1_panel","inputdataset_panel","ple0010_h_panel","pla0009_h_panel","plh0258_v9_panel","plj0626_panel","plj0680_h_panel","plm0529_panel","plh0007_panel","plm0564_panel","plh0011_v2_panel","plh0012_h_panel","plm0663_panel","plm0664_panel","plm0665_panel","plm0666_panel","plm0667_panel","plm0668_panel","plm0672_panel","plm0673_panel","plm0674_panel","plm0675_panel","plj0606_panel","plj0607_panel","plj0608_panel","plj0609_panel","plj0610_panel","plj0611_panel","plj0612_panel","plj0613_panel","plj0614_panel","plj0615_panel","plj0616_panel","plj0617_panel","plj0618_panel","plj0619_panel","plj0620_panel","plj0621_panel","plj0622_panel","plj0623_panel","plj0624_panel","plj0625_panel","bgp143_bgp","bip_518_q106_bip","lr3078_bio","lr3079_bio","lb0228_bio","lr3041_bio","lr3046_bio","lr3130_bio","lr3122_bio","lr3123_bio","lr3124_bio","lr3125_bio","lr3126_bio","lr3127_bio","lr3128_bio","lr3129_bio","lr3136_bio","lr3137_bio","lr3138_bio","lr3139_bio","lr3140_bio","lr3141_bio","lr3142_bio","lr3143_bio","lr3144_bio","lr3145_bio","lr3146_bio","lm0623_bio","lm0624_bio","lr3147_bio","lr3148_bio","lr3149_bio","lr3150_bio","lr3151_bio","lr3152_bio","lr3153_bio","lr3154_bio","lr3155_bio","lr3156_bio","lr3157_bio","lr3158_bio","lr3159_bio","lr3160_bio","lr3161_bio","lr3162_bio","lr3163_bio","lr3164_bio","lr3165_bio","lr3166_bio","lr3167_bio"
36053401,3605345,3605345,2016,30,"bgp",1989,2,4,2,-2,-8,3,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,9,4,4,1,-1,7,10,5,10,10,10,10,5,5,2,1,5,3,21,4,4,2,-2,1,2013,1,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36053401,3605345,3605345,2017,30,"bhp",1989,2,-5,2,3,2,3,3,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,21,4,4,2,-2,1,2013,1,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36053401,3605345,3605345,2018,30,"bip",1989,2,-5,2,-2,2,3,3,2,-2,4,2,3,2,4,4,7,10,10,10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,21,4,4,2,-2,1,2013,1,-2,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36053402,3605345,3605345,2016,30,"bgp",1981,1,4,2,-2,-8,3,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,0,0,-1,3,1,7,7,10,0,10,10,10,10,5,5,1,1,4,3,22,4,4,-1,2,2,2013,1,-2,1,-2,1,1,-2,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36053402,3605345,3605345,2017,30,"bhp",1981,1,-5,2,3,2,1,2,1,5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,22,4,4,-1,2,2,2013,1,-2,1,-2,1,1,-2,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36053402,3605345,3605345,2018,30,"bip",1981,1,-5,2,-2,2,2,2,1,5,4,4,3,1,1,4,6,8,9,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,22,4,4,-1,2,2,2013,1,-2,1,-2,1,1,-2,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36057701,3605779,3605779,2016,30,"bgp",1968,2,4,2,1,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,7,1,4,19,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36057701,3605779,3605779,2017,30,"bhp",1968,2,-5,2,3,7,4,4,2,-2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36057701,3605779,3605779,2018,30,"bip",1968,2,-5,2,-2,7,-1,-1,-1,-2,-1,-1,-1,-1,-1,4,-1,7,5,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,19,-2,-2,2,-2,3,2015,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,2,-2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
36058801,3605884,3605884,2016,30,"bgp",1993,1,4,1,1,-8,4,-8,-5,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,0,5,5,5,7,2,7,7,10,10,10,10,5,5,5,3,7,1,7,4,22,2,1,2,2,3,2015,1,-2,1,-2,-2,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,-2,1,2,19,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2
